Australia,Belgium,Brazil,Canada,Chile,China,Colombia,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Pakistan,Russia,Singapore,S Korea,Spain,Sweden,UK,US,Vietnam
24.67562228,14.40015257,10.93201164,11.07914358,4.22902615,10.64246059,29.11730929,26.43843135,26.09612717,18.83159196,7.176842226,5.460548417,13.29626336,17.54496202,20.83103536,24.991841,17.98818723,15.08877823,14.27827588,20.35158716,34.57569793,32.60510913,21.81300746,11.20340756,24.39382492
22.35779936,13.11845644,8.780235678,12.5102675,10.13600843,12.99572045,36.24961911,21.62062317,31.77585795,14.44008002,8.35488042,3.528207092,19.14108229,9.877143112,26.25553613,35.81835225,11.00161096,16.33535036,11.19243521,18.37275389,33.93927463,30.86345493,19.66629322,17.32253215,17.92936181
15.25464078,11.95355093,17.12760153,8.751043351,12.62799242,18.2163021,27.1650449,27.60293698,31.13179217,11.04049057,22.18027476,3.797398589,18.40857409,11.35319109,18.32849807,28.03790739,12.61880047,13.42015174,12.99088578,28.966354,32.74193633,24.84634183,28.56460693,21.38636653,23.21712791
12.45797484,10.30086307,11.54698506,12.64301828,5.21040307,21.89317758,23.08893163,25.64852871,33.49087643,10.25995279,10.83403321,11.22346018,33.54676715,7.781683447,27.119716,14.71702348,9.793552195,8.781461623,7.698079726,18.77686566,29.0692184,45.10182658,42.16696224,36.07418654,30.46889685
23.38454491,14.79566298,14.09098677,15.00278378,11.06866189,19.18206999,30.27444587,27.37349604,39.52513392,20.28203932,15.70053619,6.339216821,25.98502813,23.50538161,17.88646714,35.79209303,13.85198843,15.56197881,11.77595682,35.4212633,26.85299898,36.68875719,34.4842022,31.0322634,20.70359936
12.61375183,13.93702107,34.93455028,19.51923519,5.961755582,14.45143522,26.92154617,31.36855964,24.48430581,7.713767867,7.964967404,4.617634091,15.89486788,9.331587226,13.83717924,13.9823725,9.038818874,14.944794,7.839216275,17.32613329,34.09190889,28.64450153,29.98594901,19.70201769,14.98141618
9.440437465,21.54586162,32.7816296,22.14370867,2.989980388,8.453286344,31.85007972,25.31157961,29.03401802,9.620792463,7.476690389,7.38037499,11.59629802,13.80495446,13.94649377,34.51913491,4.641814712,11.59235021,5.798580405,21.0050774,19.48329171,24.85713002,26.55839604,29.01640155,27.64115218
15.0028405,18.0577201,15.34533628,8.819347426,4.829018191,8.512436831,30.14404863,24.69390855,29.41667731,6.735456962,11.79000568,4.914694787,15.17797296,7.541241105,17.40493519,13.18638424,26.09819409,18.39737235,10.97502468,16.43835071,27.14120271,24.71502631,34.44185954,19.82488046,20.74348693
21.39058986,20.23087323,17.44580679,25.25136579,5.448046704,30.8683753,27.99988503,20.4877318,29.6558411,16.58934677,20.3787431,6.79122575,15.96355149,11.43816786,10.78342719,17.03938217,10.99583208,13.3308359,16.95297613,24.10897836,20.00187136,22.03718854,27.52261816,16.64253782,16.14948748
20.52128653,18.36672486,24.37695807,29.04445144,3.045469509,11.78417149,26.11625953,27.53248619,23.17086784,8.356620071,14.72171179,6.402000371,10.46987096,25.33316021,24.11529765,14.26871873,8.135900298,16.40968558,7.39697305,12.63781363,11.15189514,27.41270815,20.6893578,17.40047162,19.27750815
13.31697197,10.60011336,21.44587394,36.5150543,8.049068493,15.64099984,27.25609517,20.81938243,25.36032077,15.23753138,12.14903604,7.379610459,12.10226436,17.45785424,12.19604353,37.5483505,14.39785672,18.47943081,13.2548991,23.0695004,12.86681072,29.93482495,26.64293833,24.91469568,11.67834065
24.73226069,13.4823346,10.82115512,25.20650721,4.844554485,13.21528727,34.71222697,18.37219321,15.25464716,16.27138958,18.8423877,5.889211098,16.38130297,11.67891917,14.47139469,33.11222293,10.24183793,12.28110231,16.55451134,22.42542637,25.68103282,27.07110467,29.12623786,26.81872041,25.52335534
29.32266936,8.984291802,22.35835772,30.70542646,14.81562713,30.13169352,43.99683782,35.25963495,36.78906001,34.4065107,21.65414044,9.650966868,21.97208206,22.82004927,29.35917409,56.27625133,22.98595303,20.56814495,20.60717955,41.91332207,43.26267948,34.9464917,36.28027337,33.67128443,29.1756691
15.42299078,23.1258207,18.05334277,17.8998955,9.179207918,31.24109923,33.78208818,39.9967084,15.17590205,17.79863661,12.12907421,2.610229277,20.84405813,7.099802337,10.71421561,20.49105329,9.489147968,8.915863805,7.921405043,22.25291167,31.28415232,30.34908325,25.99281248,21.19547548,16.46514323
24.35996479,13.75506948,25.59045794,19.87534813,19.98620173,14.12423244,27.43718607,23.62337234,23.5951612,11.32939068,9.658125336,3.542034098,20.48989966,16.31483221,21.02832057,26.19565444,11.43719952,7.894495393,15.17495281,24.74049837,33.22396429,31.53441099,29.58325608,53.2481464,15.94817778
15.68571774,12.3042701,12.09848737,10.80201309,8.636123469,21.6159955,29.19690591,37.87701379,13.03856356,8.128970627,8.347801234,3.122730574,21.57664116,20.57454661,14.5783049,23.36991922,7.60102791,7.623582338,6.32298833,24.63474623,28.83077166,22.55495249,30.6195077,28.72826899,15.13569255
18.83218868,8.234530239,16.15874009,25.08598107,5.521278568,28.46107728,24.87682639,29.26377103,17.88830902,2.99186824,13.66310318,2.414021164,12.92602378,20.84763542,23.03854551,37.29564097,8.520663403,12.50873794,10.3877422,19.43062535,19.49248644,23.93715859,37.76451671,30.13547295,23.06941816
